          10           0
   0.000000000000000        0.000000000000000       -0.809230995095201D-002
   0.360259268555854D-001  -0.344508121007526D-003  -0.543093621144721D-002
   0.360259268555854D-001  -0.344508121007526D-003  -0.543093621144721D-002
   0.429179487061305D-001  -0.120347157895319D-001  -0.775433536670098D-003
  -0.100000000000000D-001   0.000000000000000        0.000000000000000     
  -0.397692371755598D-003  -0.111926359327814D-001  -0.446486255019126D-002
  -0.397692371755598D-003  -0.111926359327814D-001  -0.446486255019126D-002
   0.429179487061305D-001  -0.120347157895319D-001  -0.117414053159388D-001
   0.429179487061305D-001  -0.120347157895319D-001  -0.117414053159388D-001
   0.952602409099129D-001  -0.134167553631235D-001  -0.108375767802181D-001
   0.952602409099129D-001  -0.134167553631235D-001  -0.108375767802181D-001
   0.138033254750983       -0.147819817979616D-001  -0.104433140225145D-001
  -0.397692371755598D-003  -0.111926359327814D-001  -0.446486255019126D-002
  -0.795980789730328D-003  -0.482410743111015D-002  -0.370837132560511D-002
   0.429179487061305D-001  -0.120347157895319D-001  -0.117414053159388D-001
   0.428455176743085D-001  -0.113864210775536D-001  -0.106205791992107D-001
   0.952602409099129D-001  -0.134167553631235D-001  -0.108375767802181D-001
   0.953415237330002D-001  -0.160043815039621D-001  -0.997514339142542D-002
   0.138033254750983       -0.147819817979616D-001  -0.105598144643021D-001
   0.137729413385622       -0.186391550691239D-001  -0.350219533046539D-002
   0.000000000000000        0.000000000000000        0.215267845895143D-002
  -0.795980789730328D-003  -0.482410743111015D-002  -0.370837132560511D-002
  -0.795980789730328D-003  -0.482410743111015D-002  -0.370837132560511D-002
   0.428455176743085D-001  -0.113864210775536D-001  -0.106205791992107D-001
   0.428455176743085D-001  -0.113864210775536D-001  -0.106205791992107D-001
   0.953415237330002D-001  -0.160043815039621D-001  -0.997514339142542D-002
   0.953415237330002D-001  -0.160043815039621D-001  -0.997514339142542D-002
   0.137729413385622       -0.186391550691239D-001  -0.350219533046539D-002
  -0.795980789730328D-003  -0.482410743111015D-002   0.101355927053507D-002
   0.128917727442836D-002  -0.926912534825603D-003  -0.148914142108977D-002
   0.000000000000000        0.000000000000000        0.000000000000000     
   0.128917727442836D-002  -0.926912534825603D-003  -0.148914142108977D-002
   -6.89016242015052         3.19364848740576        0.617561557447743D-014
   -6.89016242015052        -3.19364848740576         15.9682424370288     
   -17.9562868484622        -2.73853098516301        -15.9682424370288     
   -17.9562868484622         2.73853098516301        0.245983788893511D-014
   -29.8158983195353        -26.2333616403885        -35.7234887175597     
   -29.8158983195353         26.2333616403885        -69.2099578439942     
   -21.0519964187628         30.6649837845729         88.6170029406992     
   -21.0519964187628        -30.6649837845729         34.0429321975926     
   -34.5509893397887         24.2059225322555         39.6891547222250     
   -34.5509893397887        -16.2059225322555         41.1345354067969     
   -34.1306608709539         4.59409066263908         2.37636265055644     
   -34.1306608709539         3.40590933736092        0.133226762955019D-013
   -56.8983454249614         8.76390190077252        -19.4070450967050     
   -56.8983454249614         33.2360980992275        -66.2456415978874     
   -10.3472902602788        -6.60883050087521        -73.7320869198177     
   -10.3472902602788         48.6088305008752        -119.529726586309     
    11.6118318696172        0.420328468834839        -43.5108980573533     
    11.6118318696172         49.5796715311652        -128.546802660803     
   -43.4059093373689         34.1306608709538        0.000000000000000     
   -43.4059093373689         65.8693391290462        -111.085373903324     
   -120.602685777754        -10.9894683460435        0.273912836856738D-014
   -120.602685777754         10.9894683460435        -43.9578733841740     
   -164.057841161087         42.1413677280202         110.203514982061     
   -164.057841161087        -42.1413677280202         58.3619559300194     
   -115.449010660211         31.7940774677422         61.1677706562895     
   -115.449010660211        -31.7940774677422         66.0085392146793     
   -65.8693391290462         43.4059093373618         62.5382634461235     
   -65.8693391290462        -43.4059093373618         111.085373903324     
   -134.038097288756         4.66450611336679        0.177635683940025D-014
   -134.038097288756         15.3354938866332        -26.6774694331660     
   -92.6912534825603         98.0291814990251         71.3517120658591     
   -92.6912534825603        -98.0291814990251         26.6774694331660     
